id,previousThrow0,previousThrow1,previousThrow2,previousThrow3,previousThrow4,previousThrow5,previousThrow6,previousThrow7,previousThrow8,previousThrow9,playerThrow
55a48ab34a314bd33236f601,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f602,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f603,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f604,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f605,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f606,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f607,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f608,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f609,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60a,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60b,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60c,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60d,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60e,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f60f,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f610,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f611,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f612,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f613,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f614,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f615,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f616,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f617,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f618,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f619,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61a,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61b,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61c,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61d,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61e,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f61f,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f620,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f621,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f622,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f623,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f624,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f625,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f626,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f627,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f628,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
55a48ab34a314bd33236f629,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,paper
55a48ab34a314bd33236f62a,rock,rock,rock,rock,rock,rock,rock,rock,rock,paper,paper
55a48ab34a314bd33236f62b,rock,rock,rock,rock,rock,rock,rock,rock,paper,paper,paper
55a48ab34a314bd33236f62c,rock,rock,rock,rock,rock,rock,rock,paper,paper,paper,paper
55a48ab34a314bd33236f62d,rock,rock,rock,rock,rock,rock,paper,paper,paper,paper,paper
55a48ab34a314bd33236f62e,rock,rock,rock,rock,rock,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f62f,rock,rock,rock,rock,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f630,rock,rock,rock,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f631,rock,rock,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f632,rock,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f633,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f634,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f635,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f636,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f637,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f638,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f639,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63a,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63b,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63c,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63d,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63e,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f63f,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f640,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f641,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f642,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f643,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f644,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f645,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f646,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f647,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f648,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f649,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f64a,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
